Title,genre,released,score,star,budget,Marketing Spend,Marketing Amount,gross,Profitability,Pre Production Spend,Pre-Production Amount,VFX Spend,VFX Amount,Post Production Spend,Post Production Amount,Music Spend,Music Amount,Distribution,Distribution Amount
Ordinary People,Drama,"September 19, 1980 (United States)",7.7,Donald Sutherland,6000000,17.5,1050000,54766923,48766923,65,3900000,7.5,450000,7.5,450000,4,240000,12.5,750000
Dressed to Kill,Crime,"July 25, 1980 (United States)",7.1,Michael Caine,6500000,20,1300000,31899000,25399000,55,3575000,15,975000,7.5,487500,6,390000,12.5,812500
Somewhere in Time,Drama,"October 3, 1980 (United States)",7.2,Christopher Reeve,5100000,17.5,892500,9709597,4609597,65,3315000,7.5,382500,7.5,382500,4,204000,12.5,637500
Fame,Drama,"May 16, 1980 (United States)",6.6,Eddie Barth,22914608.79,17.5,4010056.539,21202829,-1711779.792,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
9 to 5,Comedy,"December 19, 1980 (United States)",6.9,Jane Fonda,10000000,25,2500000,103300686,93300686,55,5500000,7.5,750000,7.5,750000,4,400000,12.5,1250000
The Fog,Horror,"February 8, 1980 (United States)",6.8,Adrienne Barbeau,1000000,25,250000,21448782,20448782,45,450000,15,150000,7.5,75000,6,60000,12.5,125000
Stir Crazy,Comedy,"December 12, 1980 (United States)",6.8,Gene Wilder,22607802.13,25,5651950.532,101300000,78692197.87,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Cruising,Crime,"February 15, 1980 (United States)",6.5,Al Pacino,11000000,20,2200000,19814523,8814523,55,6050000,15,1650000,7.5,825000,6,660000,12.5,1375000
Heaven's Gate,Adventure,"April 24, 1981 (United States)",6.8,Kris Kristofferson,44000000,37.5,16500000,3484523,-40515477,45,19800000,30,13200000,7.5,3300000,4,1760000,12.5,5500000
The Final Countdown,Action,"August 1, 1980 (United States)",6.7,Kirk Douglas,12000000,37.5,4500000,16647800,4647800,45,5400000,30,3600000,7.5,900000,4,480000,12.5,1500000
Xanadu,Fantasy,"August 8, 1980 (United States)",5.3,Olivia Newton-John,20000000,30,6000000,22762571,2762571,35,7000000,40,8000000,12.5,2500000,5,1000000,12.5,2500000
Urban Cowboy,Drama,"June 6, 1980 (United States)",6.4,John Travolta,22914608.79,17.5,4010056.539,46918287,24003678.21,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Altered States,Horror,"December 25, 1980 (United States)",6.9,William Hurt,12825159.09,25,3206289.773,19853892,7028732.909,45,5771321.591,15,1923773.864,7.5,961886.9318,6,769509.5455,12.5,1603144.886
Little Darlings,Comedy,"March 21, 1980 (United States)",6.5,Tatum O'Neal,22607802.13,25,5651950.532,34326249,11718446.87,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Raise the Titanic,Action,"August 1, 1980 (United States)",5,Jason Robards,36000000,37.5,13500000,145508580.8,109508580.8,45,16200000,30,10800000,7.5,2700000,4,1440000,12.5,4500000
Brubaker,Crime,"June 20, 1980 (United States)",7.2,Robert Redford,9000000,20,1800000,37121708,28121708,55,4950000,15,1350000,7.5,675000,6,540000,12.5,1125000
American Gigolo,Crime,"February 1, 1980 (United States)",6.2,Richard Gere,4800000,20,960000,22743674,17943674,55,2640000,15,720000,7.5,360000,6,288000,12.5,600000
My Bodyguard,Comedy,"September 26, 1980 (United States)",7.1,Chris Makepeace,22607802.13,25,5651950.532,22482952,-124850.1291,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Prom Night,Horror,"July 18, 1980 (United States)",5.4,Leslie Nielsen,12825159.09,25,3206289.773,14796236,1971076.909,45,5771321.591,15,1923773.864,7.5,961886.9318,6,769509.5455,12.5,1603144.886
Smokey and the Bandit II,Action,"August 15, 1980 (United States)",5.3,Burt Reynolds,58084599.21,37.5,21781724.7,66132626,8048026.793,45,26138069.64,30,17425379.76,7.5,4356344.941,4,2323383.968,12.5,7260574.901
Cattle Annie and Little Britches,Drama,"April 24, 1981 (United States)",6.1,Scott Glenn,5100000,17.5,892500,534816,-4565184,65,3315000,7.5,382500,7.5,382500,4,204000,12.5,637500
Seems Like Old Times,Comedy,"December 19, 1980 (United States)",6.7,Goldie Hawn,22607802.13,25,5651950.532,43995918,21388115.87,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Private Benjamin,Comedy,"October 10, 1980 (United States)",6.2,Goldie Hawn,10000000,25,2500000,69847348,59847348,55,5500000,7.5,750000,7.5,750000,4,400000,12.5,1250000
The Hollywood Knights,Comedy,"May 30, 1980 (United States)",6.3,Tony Danza,4000000,25,1000000,10000000,6000000,55,2200000,7.5,300000,7.5,300000,4,160000,12.5,500000
Motel Hell,Comedy,"October 24, 1980 (United States)",6,Rory Calhoun,3000000,25,750000,6342668,3342668,55,1650000,7.5,225000,7.5,225000,4,120000,12.5,375000
The Jazz Singer,Drama,"December 19, 1980 (United States)",5.9,Laurence Olivier,22914608.79,17.5,4010056.539,27118000,4203391.208,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Coal Miner's Daughter,Biography,"March 7, 1980 (United States)",7.5,Sissy Spacek,25312316.72,17.5,4429655.427,67182787,41870470.28,55,13921774.2,7.5,1898423.754,7.5,1898423.754,4,1012492.669,12.5,3164039.59
The Watcher in the Woods,Family,"October 9, 1981 (United States)",6.3,Bette Davis,51125000,20,10225000,5000000,-46125000,45,23006250,15,7668750,12.5,6390625,7.5,3834375,12.5,6390625
Breaker Morant,Drama,"July 3, 1980 (Australia)",7.9,Edward Woodward,22914608.79,17.5,4010056.539,38930959.49,16016350.7,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
The Stunt Man,Action,"June 27, 1980 (United States)",7.1,Peter O'Toole,3500000,37.5,1312500,7063886,3563886,45,1575000,30,1050000,7.5,262500,4,140000,12.5,437500
Where the Buffalo Roam,Biography,"April 25, 1980 (United States)",6.6,Peter Boyle,25312316.72,17.5,4429655.427,6659377,-18652939.72,55,13921774.2,7.5,1898423.754,7.5,1898423.754,4,1012492.669,12.5,3164039.59
The Awakening,Horror,"October 31, 1980 (United States)",4.8,Charlton Heston,12825159.09,25,3206289.773,8415112,-4410047.091,45,5771321.591,15,1923773.864,7.5,961886.9318,6,769509.5455,12.5,1603144.886
Cheech and Chong's Next Movie,Comedy,"July 18, 1980 (United States)",6.1,Cheech Marin,22607802.13,25,5651950.532,41675194,19067391.87,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
The Island,Action,"June 13, 1980 (United States)",5.3,Michael Caine,22000000,37.5,8250000,15716828,-6283172,45,9900000,30,6600000,7.5,1650000,4,880000,12.5,2750000
The Boogey Man,Horror,"November 7, 1980 (United States)",4.6,Suzanna Love,300000,25,75000,47372409.13,47072409.13,45,135000,15,45000,7.5,22500,6,18000,12.5,37500
The Nude Bomb,Action,"May 9, 1980 (United States)",5.1,Don Adams,15000000,37.5,5625000,14662035,-337965,45,6750000,30,4500000,7.5,1125000,4,600000,12.5,1875000
Lion of the Desert,Biography,"May 16, 1981 (Japan)",8.3,Anthony Quinn,35000000,17.5,6125000,47874322.87,12874322.87,55,19250000,7.5,2625000,7.5,2625000,4,1400000,12.5,4375000
Stardust Memories,Comedy,"September 26, 1980 (United States)",7.3,Woody Allen,10000000,25,2500000,10389003,389003,55,5500000,7.5,750000,7.5,750000,4,400000,12.5,1250000
Melvin and Howard,Comedy,"September 19, 1980 (United States)",6.8,Paul Le Mat,7000000,25,1750000,4309490,-2690510,55,3850000,7.5,525000,7.5,525000,4,280000,12.5,875000
Can't Stop the Music,Biography,"June 20, 1980 (United States)",4.2,Ray Simpson,20000000,17.5,3500000,47874322.87,27874322.87,55,11000000,7.5,1500000,7.5,1500000,4,800000,12.5,2500000
Bronco Billy,Action,"June 11, 1980 (United States)",6.1,Clint Eastwood,6500000,37.5,2437500,24265659,17765659,45,2925000,30,1950000,7.5,487500,4,260000,12.5,812500
City of Women,Comedy,"April 8, 1981 (United States)",7,Marcello Mastroianni,22607802.13,25,5651950.532,12516,-22595286.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
The Private Eyes,Comedy,"November 21, 1980 (United States)",6.7,Tim Conway,22607802.13,25,5651950.532,44331874.3,21724072.17,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
When Time Ran Out...,Action,"March 28, 1980 (United States)",4.6,Paul Newman,20000000,37.5,7500000,3763988,-16236012,45,9000000,30,6000000,7.5,1500000,4,800000,12.5,2500000
Oh Heavenly Dog,Comedy,"July 11, 1980 (United States)",5.4,Chevy Chase,6000000,25,1500000,6216067,216067,55,3300000,7.5,450000,7.5,450000,4,240000,12.5,750000
The Octagon,Action,"August 15, 1980 (United States)",5.1,Chuck Norris,4000000,37.5,1500000,18971000,14971000,45,1800000,30,1200000,7.5,300000,4,160000,12.5,500000
Hangar 18,Sci-Fi,"March 13, 1981 (Ireland)",5.3,Darren McGavin,11000000,30,3300000,32561233.25,21561233.25,35,3850000,40,4400000,12.5,1375000,5,550000,12.5,1375000
Herbie Goes Bananas,Adventure,"June 25, 1980 (United States)",5,Charles Martin Smith,45708389.06,37.5,17140645.9,18000000,-27708389.06,45,20568775.08,30,13712516.72,7.5,3428129.179,4,1828335.562,12.5,5713548.632
The Competition,Drama,"December 3, 1980 (United States)",6.7,Richard Dreyfuss,22914608.79,17.5,4010056.539,14287755,-8626853.792,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
It's My Turn,Comedy,"February 5, 1981 (Argentina)",5.5,Jill Clayburgh,22607802.13,25,5651950.532,44331874.3,21724072.17,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Honeysuckle Rose,Drama,"July 18, 1980 (United States)",6.3,Willie Nelson,22914608.79,17.5,4010056.539,17815212,-5099396.792,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Resurrection,Drama,"September 26, 1980 (United States)",7.3,Ellen Burstyn,22914608.79,17.5,4010056.539,3910019,-19004589.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Fatso,Comedy,"February 1, 1980 (United States)",6.3,Dom DeLuise,22607802.13,25,5651950.532,7653061,-14954741.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Moscow Does Not Believe in Tears,Comedy,"February 11, 1980 (Soviet Union)",8.1,Vera Alentova,900000,25,225000,44331874.3,43431874.3,55,495000,7.5,67500,7.5,67500,4,36000,12.5,112500
The Fiendish Plot of Dr. Fu Manchu,Comedy,"August 8, 1980 (United States)",5.1,Peter Sellers,22607802.13,25,5651950.532,10697276,-11910526.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Serial,Comedy,"March 28, 1980 (United States)",6.6,Martin Mull,22607802.13,25,5651950.532,9870727,-12737075.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Hero at Large,Comedy,"February 8, 1980 (United States)",6,John Ritter,22607802.13,25,5651950.532,15934737,-6673065.129,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Wholly Moses!,Comedy,"June 13, 1980 (United States)",4.7,Dudley Moore,22607802.13,25,5651950.532,14155617,-8452185.129,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",Animation,"May 30, 1980 (United States)",7.3,Scott Beach,75785197.13,20,15157039.43,2013193,-73772004.13,35,26524819,45,34103338.71,10,7578519.713,5,3789259.857,12.5,9473149.642
In God We Trust (or Gimme That Prime Time Religion),Comedy,"September 26, 1980 (United States)",5.5,Marty Feldman,22607802.13,25,5651950.532,5215015,-17392787.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Roadie,Comedy,"June 13, 1980 (United States)",5.2,Meat Loaf,22607802.13,25,5651950.532,4226370,-18381432.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Just Tell Me What You Want,Comedy,"January 18, 1980 (United States)",5.5,Ali MacGraw,22607802.13,25,5651950.532,2086905,-20520897.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
The Last Flight of Noah's Ark,Adventure,"June 25, 1980 (United States)",5.8,Elliott Gould,6000000,37.5,2250000,11000000,5000000,45,2700000,30,1800000,7.5,450000,4,240000,12.5,750000
Little Miss Marker,Comedy,"March 21, 1980 (United States)",6.3,Walter Matthau,22607802.13,25,5651950.532,6321392,-16286410.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Willie & Phil,Comedy,"August 15, 1980 (United States)",5.9,Michael Ontkean,5500000,25,1375000,4400000,-1100000,55,3025000,7.5,412500,7.5,412500,4,220000,12.5,687500
Babylon,Drama,November 1980 (United Kingdom),7.4,David N. Haynes,22914608.79,17.5,4010056.539,109749,-22804859.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Windwalker,Adventure,"November 18, 1983 (Sweden)",6.9,Trevor Howard,3000000,37.5,1125000,109325230.2,106325230.2,45,1350000,30,900000,7.5,225000,4,120000,12.5,375000
Phobia,Drama,"September 9, 1980 (United States)",4,Paul Michael Glaser,5100000,17.5,892500,59167,-5040833,65,3315000,7.5,382500,7.5,382500,4,204000,12.5,637500
Windows,Drama,"January 18, 1980 (United States)",4.8,Talia Shire,22914608.79,17.5,4010056.539,2128395,-20786213.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Loving Couples,Comedy,"October 24, 1980 (United States)",5.2,Shirley MacLaine,22607802.13,25,5651950.532,2806659,-19801143.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
The King and the Mockingbird,Animation,"March 19, 1980 (France)",7.9,Jean Martin,75785197.13,20,15157039.43,167451,-75617746.13,35,26524819,45,34103338.71,10,7578519.713,5,3789259.857,12.5,9473149.642
"Oh, God! Book II",Comedy,"October 3, 1980 (United States)",5.2,George Burns,22607802.13,25,5651950.532,14504277,-8103525.129,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
"Those Lips, Those Eyes",Comedy,"August 15, 1980 (United States)",6.5,Frank Langella,22607802.13,25,5651950.532,804713,-21803089.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
La Cage aux Folles II,Comedy,"February 15, 1981 (United States)",5.8,Michel Serrault,22607802.13,25,5651950.532,6950125,-15657677.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
The Gong Show Movie,Comedy,"May 23, 1980 (United States)",4.3,Chuck Barris,22607802.13,25,5651950.532,6621520,-15986282.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Gilda Live,Comedy,"March 28, 1980 (United States)",6.8,Gilda Radner,22607802.13,25,5651950.532,2261507,-20346295.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Why Would I Lie?,Comedy,"August 8, 1980 (United States)",6.5,Treat Williams,22607802.13,25,5651950.532,1175855,-21431947.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
First Family,Comedy,"December 25, 1980 (United States)",4.3,Bob Newhart,22607802.13,25,5651950.532,15198912,-7408890.129,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Mantis Fist Fighter,Action,"July 9, 1982 (United States)",6.7,Ka-Yan Leung,58084599.21,37.5,21781724.7,145508580.8,87423981.64,45,26138069.64,30,17425379.76,7.5,4356344.941,4,2323383.968,12.5,7260574.901
Indiana Jones and the Raiders of the Lost Ark,Action,"June 12, 1981 (United States)",8.4,Harrison Ford,18000000,37.5,6750000,389925971,371925971,45,8100000,30,5400000,7.5,1350000,4,720000,12.5,2250000
Body Heat,Crime,"August 28, 1981 (United States)",7.4,William Hurt,22363565.63,20,4472713.126,24058838,1695272.37,55,12299961.1,15,3354534.844,7.5,1677267.422,6,1341813.938,12.5,2795445.704
An American Werewolf in London,Comedy,"August 21, 1981 (United States)",7.5,David Naughton,10000000,25,2500000,30669378,20669378,55,5500000,7.5,750000,7.5,750000,4,400000,12.5,1250000
Escape from New York,Action,"July 10, 1981 (United States)",7.2,Kurt Russell,6000000,37.5,2250000,25244626,19244626,45,2700000,30,1800000,7.5,450000,4,240000,12.5,750000
The Evil Dead,Horror,"April 15, 1983 (United States)",7.5,Bruce Campbell,350000,25,87500,2956630,2606630,45,157500,15,52500,7.5,26250,6,21000,12.5,43750
Porky's,Comedy,"March 19, 1982 (United States)",6.2,Dan Monahan,2500000,25,625000,111289673,108789673,55,1375000,7.5,187500,7.5,187500,4,100000,12.5,312500
Blow Out,Crime,"July 24, 1981 (United States)",7.4,John Travolta,18000000,20,3600000,12000000,-6000000,55,9900000,15,2700000,7.5,1350000,6,1080000,12.5,2250000
Clash of the Titans,Action,"June 12, 1981 (United States)",6.9,Laurence Olivier,15000000,37.5,5625000,41092328,26092328,45,6750000,30,4500000,7.5,1125000,4,600000,12.5,1875000
Excalibur,Adventure,"April 10, 1981 (United States)",7.4,Nigel Terry,11000000,37.5,4125000,34971136,23971136,45,4950000,30,3300000,7.5,825000,4,440000,12.5,1375000
Mad Max 2,Action,"May 21, 1982 (United States)",7.6,Mel Gibson,3000000,37.5,1125000,23668369,20668369,45,1350000,30,900000,7.5,225000,4,120000,12.5,375000
Das Boot,Adventure,"February 10, 1982 (United States)",8.3,Jürgen Prochnow,45708389.06,37.5,17140645.9,11487676,-34220713.06,45,20568775.08,30,13712516.72,7.5,3428129.179,4,1828335.562,12.5,5713548.632
Stripes,Comedy,"June 26, 1981 (United States)",6.9,Bill Murray,10000000,25,2500000,85297000,75297000,55,5500000,7.5,750000,7.5,750000,4,400000,12.5,1250000
Possession,Drama,"October 28, 1983 (United States)",7.4,Isabelle Adjani,22914608.79,17.5,4010056.539,1113538,-21801070.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
The Cannonball Run,Action,"June 19, 1981 (United States)",6.2,Burt Reynolds,18000000,37.5,6750000,72179579,54179579,45,8100000,30,5400000,7.5,1350000,4,720000,12.5,2250000
Thief,Action,"March 27, 1981 (United States)",7.4,James Caan,5500000,37.5,2062500,11492915,5992915,45,2475000,30,1650000,7.5,412500,4,220000,12.5,687500
Endless Love,Drama,"July 17, 1981 (United States)",4.9,Brooke Shields,22914608.79,17.5,4010056.539,32492674,9578065.208,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Time Bandits,Adventure,"November 6, 1981 (United States)",7,Sean Connery,5000000,37.5,1875000,42368025,37368025,45,2250000,30,1500000,7.5,375000,4,200000,12.5,625000
The Four Seasons,Comedy,"May 22, 1981 (United States)",6.8,Alan Alda,22607802.13,25,5651950.532,50427646,27819843.87,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Friday the 13th Part 2,Horror,"May 1, 1981 (United States)",6.1,Betsy Palmer,1250000,25,312500,21722776,20472776,45,562500,15,187500,7.5,93750,6,75000,12.5,156250
Scanners,Horror,"January 14, 1981 (United States)",6.8,Jennifer O'Neill,12825159.09,25,3206289.773,14225876,1400716.909,45,5771321.591,15,1923773.864,7.5,961886.9318,6,769509.5455,12.5,1603144.886
For Your Eyes Only,Action,"June 26, 1981 (United States)",6.7,Roger Moore,28000000,37.5,10500000,54813222,26813222,45,12600000,30,8400000,7.5,2100000,4,1120000,12.5,3500000
Halloween II,Horror,"October 30, 1981 (United States)",6.5,Jamie Lee Curtis,2500000,25,625000,25533818,23033818,45,1125000,15,375000,7.5,187500,6,150000,12.5,312500
Taps,Drama,"December 25, 1981 (United States)",6.8,George C. Scott,14000000,17.5,2450000,35856053,21856053,65,9100000,7.5,1050000,7.5,1050000,4,560000,12.5,1750000
Reds,Biography,"December 25, 1981 (United States)",7.3,Warren Beatty,32000000,17.5,5600000,40382659,8382659,55,17600000,7.5,2400000,7.5,2400000,4,1280000,12.5,4000000
On Golden Pond,Drama,"February 12, 1982 (United States)",7.6,Katharine Hepburn,22914608.79,17.5,4010056.539,119285432,96370823.21,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
The Fox and the Hound,Animation,"July 10, 1981 (United States)",7.3,Mickey Rooney,12000000,20,2400000,63456988,51456988,35,4200000,45,5400000,10,1200000,5,600000,12.5,1500000
Chariots of Fire,Biography,"April 9, 1982 (United States)",7.2,Ben Cross,5500000,17.5,962500,59303359,53803359,55,3025000,7.5,412500,7.5,412500,4,220000,12.5,687500
Absence of Malice,Drama,"December 18, 1981 (United States)",6.9,Paul Newman,12000000,17.5,2100000,40716963,28716963,65,7800000,7.5,900000,7.5,900000,4,480000,12.5,1500000
Tarzan the Ape Man,Adventure,"July 24, 1981 (United States)",3.4,Bo Derek,6500000,37.5,2437500,36565280,30065280,45,2925000,30,1950000,7.5,487500,4,260000,12.5,812500
Victory,Drama,"July 31, 1981 (United States)",6.7,Michael Caine,10000000,17.5,1750000,10853418,853418,65,6500000,7.5,750000,7.5,750000,4,400000,12.5,1250000
Arthur,Comedy,"July 17, 1981 (United States)",6.9,Dudley Moore,7000000,25,1750000,95461682,88461682,55,3850000,7.5,525000,7.5,525000,4,280000,12.5,875000
My Dinner with Andre,Biography,"October 11, 1981 (United States)",7.8,Andre Gregory,25312316.72,17.5,4429655.427,5073,-25307243.72,55,13921774.2,7.5,1898423.754,7.5,1898423.754,4,1012492.669,12.5,3164039.59
Caveman,Comedy,"April 17, 1981 (United States)",5.8,Ringo Starr,22607802.13,25,5651950.532,15965924,-6641878.129,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Dead & Buried,Horror,"October 9, 1981 (United States)",6.6,James Farentino,3000000,25,750000,47372409.13,44372409.13,45,1350000,15,450000,7.5,225000,6,180000,12.5,375000
History of the World: Part I,Comedy,"June 12, 1981 (United States)",6.9,Mel Brooks,11000000,25,2750000,31672907,20672907,55,6050000,7.5,825000,7.5,825000,4,440000,12.5,1375000
The Howling,Horror,"April 10, 1981 (United States)",6.6,Dee Wallace,1000000,25,250000,17985893,16985893,45,450000,15,150000,7.5,75000,6,60000,12.5,125000
Dragonslayer,Action,"June 26, 1981 (United States)",6.7,Peter MacNicol,18000000,37.5,6750000,14110013,-3889987,45,8100000,30,5400000,7.5,1350000,4,720000,12.5,2250000
Cutter's Way,Crime,"February 10, 1982 (France)",6.9,Jeff Bridges,3000000,20,600000,1752634,-1247366,55,1650000,15,450000,7.5,225000,6,180000,12.5,375000
Quest for Fire,Adventure,"February 12, 1982 (United States)",7.3,Everett McGill,12500000,37.5,4687500,20962615,8462615,45,5625000,30,3750000,7.5,937500,4,500000,12.5,1562500
The Final Conflict,Horror,"March 20, 1981 (United States)",5.6,Sam Neill,5000000,25,1250000,20471382,15471382,45,2250000,15,750000,7.5,375000,6,300000,12.5,625000
Mommie Dearest,Biography,"September 25, 1981 (United States)",6.7,Faye Dunaway,5000000,17.5,875000,19032261,14032261,55,2750000,7.5,375000,7.5,375000,4,200000,12.5,625000
Private Lessons,Comedy,"June 10, 1981 (United States)",5.2,Sylvia Kristel,2800000,25,700000,26279000,23479000,55,1540000,7.5,210000,7.5,210000,4,112000,12.5,350000
The Postman Always Rings Twice,Crime,"March 20, 1981 (United States)",6.6,Jack Nicholson,12000000,20,2400000,12376625,376625,55,6600000,15,1800000,7.5,900000,6,720000,12.5,1500000
Ragtime,Drama,"December 25, 1981 (United States)",7.3,James Cagney,22914608.79,17.5,4010056.539,14920781,-7993827.792,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Deadly Blessing,Horror,"August 14, 1981 (United States)",5.6,Maren Jensen,2500000,25,625000,8279042,5779042,45,1125000,15,375000,7.5,187500,6,150000,12.5,312500
Eyewitness,Crime,"February 13, 1981 (United States)",6,William Hurt,8500000,20,1700000,6400000,-2100000,55,4675000,15,1275000,7.5,637500,6,510000,12.5,1062500
Gallipoli,Adventure,"August 28, 1981 (United States)",7.4,Mel Gibson,45708389.06,37.5,17140645.9,5732587,-39975802.06,45,20568775.08,30,13712516.72,7.5,3428129.179,4,1828335.562,12.5,5713548.632
Outland,Action,"May 22, 1981 (United States)",6.6,Sean Connery,16000000,37.5,6000000,17374595,1374595,45,7200000,30,4800000,7.5,1200000,4,640000,12.5,2000000
